,scc,p
k__Bacteria;p__Proteobacteria;c__CFGB3069;o__OFGB3069;f__FGB3069_0,1072.5,0.001983746416324646
k__Bacteria;p__Proteobacteria;c__CFGB3069;o__OFGB3069_0,1072.5,0.001983746416324646
k__Bacteria;p__Proteobacteria;c__CFGB3069_0,1072.5,0.008926858873460907
k__Bacteria;p__Tenericutes;c__CFGB1787;o__OFGB1787;f__FGB1787;g__GGB4745;s__GGB4745_SGB6571_0,2130.5,2.574737782227716e-12
k__Bacteria;p__Tenericutes;c__CFGB1787;o__OFGB1787;f__FGB1787;g__GGB4745_0,1958.5,2.9400093928815005e-10
k__Bacteria;p__Tenericutes;c__CFGB1787;o__OFGB1787;f__FGB1787_0,1958.5,2.9400093928815005e-10
k__Bacteria;p__Tenericutes;c__CFGB1787;o__OFGB1787_0,1958.5,2.9400093928815005e-10
k__Bacteria;p__Tenericutes;c__CFGB1787_0,1958.5,8.820028178644501e-10
k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579_0,-487.0,0.012525950116757516
k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750_0,-487.0,0.012525950116757516
k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862_0,-487.0,0.012525950116757516
k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862_0,-487.0,0.012525950116757516
k__Bacteria;p__Tenericutes;c__CFGB4862_0,-487.0,0.012525950116757516
k__Bacteria;p__Tenericutes_0,1398.5,9.183184275927931e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila_0,1938.0,3.017225202760459e-08
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_sp_BIOML_A40_0,202.5,0.042903342106897294
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia_0,1984.5,1.6232492691033252e-08
